name,lats,lons,places,types
{'Музей украинской свадьбы '},{'49.8618'},{'34.5777'},{'Полтава'},"{'Активный отдых, Развлечения, Рестораны, кафе'}"
{'Уголок старой Одессы '},{'46.4902'},{'30.7368'},{'Одесса'},{'Архитектура'}
{'Усадьба Шаровка '},{'50.045'},{'35.4327'},{'Харьков'},{'Архитектура'}
{'Крестовоздвиженская церковь '},{'48.672'},{'26.5635'},{'Каменец-Подольский'},"{'Архитектура, История, Религия'}"
{'Музей коньячного дела Шустова '},{'46.4605'},{'30.7047'},{'Одесса'},{'Шоппинг'}
{'Стрыйский парк '},{'49.8236'},{'24.0281'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Event Park Глебовка '},{'50.8061'},{'30.3744'},{'Киев'},"{'Архитектура, Природа'}"
{'Географический центр Украины '},{'48.9999'},{'31.4059'},{'Шпола'},"{'Архитектура, История, Музеи'}"
{'Городской парк '},{'49.0768'},{'33.4263'},{'Кременчуг'},"{'Архитектура, Монументы и памятники, Природа, Религия'}"
{'Губковский замок '},{'50.826'},{'27.0446'},{'Березно'},{'Музеи'}
{'Дельфинарий Оскар '},{'46.366'},{'35.3512'},{'Кирилловка'},"{'Активный отдых, Пляжи, Природа'}"
{'Замковый мост '},{'48.6731'},{'26.5651'},{'Каменец-Подольский'},"{'Архитектура, История, Религия'}"
{'Затопленная церковь села Гусинцы '},{'50.0106'},{'31.0714'},{'Ржищев'},{'Музеи'}
{'Зеленые хутора Таврии '},{'46.5362'},{'32.6573'},{'Голая Пристань'},{'Монументы и памятники'}
{'Кафе Скворечник '},{'50.4667'},{'30.5426'},{'Киев'},{'Монументы и памятники'}
{'Киевское водохранилище '},{'50.9534'},{'30.5103'},{'Вышгород'},{'История'}
{'Конный театр Запорожские казаки '},{'47.7997'},{'35.1343'},{'Запорожье'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Корецкий монастырь '},{'50.6185'},{'27.1654'},{'Корец'},{'Музеи'}
{'Костел Святого Антония '},{'50.6164'},{'27.1539'},{'Корец'},{'Музеи'}
{'Кристальная пещера '},{'48.6976'},{'26.1094'},{'Борщев'},"{'Природа, Религия, Улицы, площади, видовые места'}"
{'Курортный парк '},{'49.2723'},{'23.4968'},{'Трускавец'},"{'Архитектура, Музеи'}"
{'Мавринский майдан '},{'48.5597'},{'35.8054'},{'Павлоград'},{'Музеи'}
{'Мгарский Спасо-Преображенский монастырь '},{'50.0308'},{'33.0549'},{'Полтава'},"{'Архитектура, Религия'}"
{'Межреченский региональный ландшафтный парк '},{'51.175'},{'30.7742'},{'Чернигов'},"{'Природа, Религия'}"
{'Музей восковых фигур У бабы Ути '},{'46.4842'},{'30.7406'},{'Одесса'},{'Музеи'}
{'Музей драгоценного и декоративного камня '},{'50.6022'},{'28.4508'},{'Житомир'},"{'Активный отдых, Природа'}"
{'Музей истории Украины '},{'50.4583'},{'30.5162'},{'Киев'},{'Музеи'}
{'Музей народной архитектуры и быта Средней Надднепрянщины '},{'50.0611'},{'31.4731'},{'Переяслав-Хмельницкий'},"{'История, Природа'}"
{'Музей украинского гончарства '},{'49.9738'},{'34.6135'},{'Полтава'},"{'История, Религия'}"
